the,69836
of,36365
and,28826
to,26126
a,23157
in,21314
that,10777
is,10182
was,9968
he,9801
for,9477
it,9077
with,7270
as,7242
his,6996
on,6728
be,6357
's,5853
i,5844
at,5368
by,5299
had,5231
this,5138
not,4860
are,4412
but,4378
from,4366
or,4186
have,3974
they,3759
an,3745
you,3622
which,3554
one,3359
were,3306
her,3036
all,2995
she,2986
we,2843
would,2843
there,2839
their,2669
him,2619
been,2472
has,2455
when,2324
who,2280
will,2227
more,2223
if,2193
no,2137
out,2094
n't,2085
can,2029
so,1983
what,1963
said,1961
up,1888
its,1855
do,1845
about,1815
into,1790
than,1790
them,1789
could,1776
only,1744
other,1705
new,1633
some,1617
time,1600
these,1573
did,1441
two,1411
may,1400
then,1377
first,1360
any,1340
man,1332
my,1318
now,1311
such,1302
like,1292
our,1252
over,1239
me,1182
even,1168
most,1156
made,1125
after,1068
also,1067
many,1030
must,1020
before,1015
through,969
back,966
years,957
where,947
much,934
your,919
way,904
should,902
well,897
down,893
because,883
each,876
just,871
people,866
those,849
state,846
how,844
little,831
too,831
world,821
good,802
make,794
very,794
men,782
still,782
own,772
see,771
here,761
work,759
long,753
get,747
both,729
between,729
life,721
being,712
under,707
day,702
year,701
never,697
another,688
same,686
know,684
while,680
us,675
last,675
might,672
great,666
old,661
off,639
come,629
against,627
since,626
go,625
came,621
right,613
states,611
take,610
three,610
used,606
himself,603
few,598
house,592
use,590
during,585
without,583
again,577
does,571
american,570
place,569
around,562
however,552
home,547
small,540
found,536
thought,517
went,507
say,504
general,504
part,500
once,499
high,498
school,496
upon,493
every,491
got,484
united,482
left,480
number,471
war,467
course,465
until,460
always,457
away,456
let,453
water,450
something,450
fact,447
public,444
'll,441
though,440
put,437
less,437
government,434
think,433
almost,432
enough,429
hand,429
took,426
far,426
night,424
head,420
system,419
yet,419
better,414
city,414
set,413
told,413
nothing,412
president,410
end,408
why,406
called,401
eyes,401
'd,400
find,399
look,399
going,399
asked,398
later,396
program,395
knew,395
point,395
next,394
business,393
group,391
give,389
young,388
toward,386
days,386
room,385
john,384
social,380
side,379
children,378
several,377
present,377
given,376
order,376
national,375
second,375
possible,373
rather,373
per,371
face,371
among,370
form,370
white,369
things,368
important,368
often,368
looked,367
early,366
case,361
big,360
large,360
four,360
within,359
need,359
become,358
felt,357
church,356
along,355
god,354
saw,352
best,350
ever,345
least,343
power,341
country,339
family,337
development,334
seemed,333
thing,333
light,331
mind,330
interest,330
members,327
area,326
want,326
today,326
others,324
although,321
turned,320
open,318
done,318
company,317
service,315
kind,314
certain,313
problem,313
different,312
began,312
thus,312
help,311
sense,311
means,310
door,310
whole,309
york,309
matter,308
perhaps,307
itself,304
times,301
human,299
law,299
line,298
name,298
above,296
example,292
action,291
show,288
hands,288
local,288
history,286
five,286
gave,285
whether,285
act,283
week,283
're,283
either,283
feet,283
across,282
past,281
car,281
taken,280
quite,280
anything,280
seen,279
body,279
having,278
death,277
experience,276
field,276
really,275
word,274
half,274
words,274
already,273
themselves,270
college,269
'm,269
information,269
tell,268
money,267
shall,267
together,267
period,265
held,264
sure,263
keep,261
probably,261
seems,259
behind,258
real,258
boy,258
political,258
free,257
air,257
question,257
office,256
miss,254
making,254
brought,253
mother,252
moment,251
whose,251
individual,249
special,248
problems,247
heard,247
federal,246
major,246
study,246
ago,246
became,246
woman,246
child,246
south,245
known,245
street,245
've,245
economic,243
result,243
wife,243
available,242
department,242
reason,241
change,240
society,240
position,239
court,238
west,238
job,237
am,237
board,237
areas,236
community,234
love,233
turn,232
close,232
TRUE,231
girl,230
force,230
full,229
seem,229
cost,228
voice,227
age,227
future,227
wanted,226
town,226
party,225
university,224
center,223
control,223
necessary,222
policy,222
women,222
following,221
front,221
common,221
father,221
sometimes,220
six,220
clear,219
further,218
land,218
students,217
able,216
music,216
america,216
feel,216
provide,215
level,214
education,214
morning,213
washington,213
short,213
effect,212
stood,212
military,212
run,212
total,211
art,210
figure,209
outside,209
black,209
class,208
rate,208
century,207
north,206
plan,206
therefore,205
leave,205
usually,205
sound,204
evidence,204
million,204
top,204
play,203
strong,202
hard,202
tax,201
road,201
value,200
book,200
soon,200
